Ticker,Market_Cap,Real_Traders,Total_Holders,Volume,Insider_Percentage,Dev_Status,Top_10_Holding,Sniper_Count,Timestamp,Address
dscover,$90K,48,48,$6K,,46%,46%,48,3m,5AfMck4wqUPiEHJS8B4tpqoJFLt98VVDzW8c3Rzjpump
POKEMONWIF,$80K,101,101,$29K,73%,57%,57%,1,3h,8pL2ntrxZyCgifxL3R1zsSoj8irsRt5Buv6rkMLomoon
DPUMP,$74K,51,217,$34K,4%,28%,28%,16,2h,Dtz17xG8ibEbX7kDkiT1h7GBoW8DXPMezT7kWUxxpump
STS,$72K,22,240,$28K,90%,16%,16%,13,33m,8Epdtcd8f6Rkot1hsZbSuDBkfPGhS5FqZBe2HUGFpump
Bao,$39K,51,73,$22K,8%,21%,21%,5,18h,5GqF1QPYGo6dTUrCombHH7TvMAnHqq6Fybs5beETpump
firstmeme,$37K,265,160,$77K,1%,29%,29%,5,45m,A45kkXz738NcedYgoYqoC1Y99SBA1Q1gUxgAwMjVpump
