ticker,username,post_text,comments,likes,views
CALEB,Chesa,"Sorry to the people who hate Caleb's EN voice because y'all missing out, the rasp in his voice did things to me",72,4300,0
CALEB,ERI ‧₊˚,i live for zayne caleb beef,48,33000,0
BEAN,bean,"#LoveandDeepspace #セイヤ #Xavier #沈星回 
misty silhouette",37,18000,0
BEAN,chefderek.eth,Every $UFD bean counter soon:,13,157,0
Hana,min hana⁷,Who caught your eye first in bts and who is your bias now?,905,2700,0
Hana,ⵀⴰⵏⴰ Hana,"ⴰⵙⴳⴳⴰⵙ ⴰⵎⴰⵢⵏⵓ ⴰⵎⴱⴰⵔⴽⵉ 2975

#HappyAmazighNewYear2975",24,515,0
Hana,min hana⁷,Who caught your eye first in bts and who is your bias now?,905,2700,0
Hana,SHANKI,Kairo ni kama hana ata stress,42,726,0
Weapon,The Tank,Another arsonist video making the rounds. I think the psyops the government is doing trying to get the focus on arsonist instead of their direct energy weapon.,180,4200,0
Weapon,Global Defense Insight,"The second prototype of the Kaan 5th Generation Combat Aircraft has been unveiled! 

Developed by Turkish Aerospace Industries, Kaan is a next-generation stealth fighter equipped with cutting-edge features like supercruise capability, internal weapon bays, and advanced",1,4,0
