wallet_address,ticker,unrealized,realized,total_profit,balance,position,bought_avg,timestamp
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,MemesAI,+$26.8K,"+$20K
+112.2%","+$46.8K
+26.3%","$215K
5M",100%,$96.2K,2024-12-28 22:28:00
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,GDOG,$0,HODL,"$0
0%","$0.009
5",100%,$0,2024-12-28 22:28:00
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,STNK,$0,HODL,"$0
0%","$0.008
361.08",100%,$0,2024-12-28 22:28:00
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,MemesAI,$0,HODL,"$0
0%","$5.26
100",100%,$0,2024-12-28 22:28:00
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,pdb,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 22:28:00
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,PENGU,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 22:28:06
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,santahat,$0,HODL,"$0
0%","$0.004
1,000",100%,$0,2024-12-28 22:28:11
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,hodl,$0,HODL,"$0
0%","$0.003
222.62",100%,$0,2024-12-28 22:28:11
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,RICH,$0,HODL,"$0
0%","$0
19.88",100%,$0,2024-12-28 22:28:11
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,ORACLE,N/A,"+$14.58
+1.7%","+$14.58
+1.7%","$0
0",0%,$845.9,2024-12-28 22:28:11
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,RURI,N/A,"+$4,686.34
+24.2%","+$4,686.34
+24.2%","$0
0",0%,"$4,584.01",2024-12-28 22:28:16
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,b2,N/A,"-$798.22
-87.3%","-$798.22
-87.3%","$0
0",0%,$914.12,2024-12-28 22:28:21
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,Shoggoth,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 22:28:27
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,evelyn ,N/A,"+$1,104.74
+93.7%","+$1,104.74
+93.7%","$0
0",0%,"$1,179.51",2024-12-28 22:28:32
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,mockJUP,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 22:28:37
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,Burpcoin,N/A,"-$665.82
-30.4%","-$665.82
-30.4%","$0
0",0%,"$2,188.15",2024-12-28 22:28:42
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,Aoi,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 22:28:47
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,ME,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 22:28:53
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,VOYAGE,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 22:28:58
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,M3M3,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 22:29:03
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,CHUUMP,$0,HODL,"$0
0%","$0.504
1,200",100%,$0,2024-12-28 22:29:08
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,CLAWDIA,$0,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 22:29:08
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,PEELY,N/A,"-$2,700.75
-45.2%","-$2,700.75
-45.2%","$0
0",0%,"$5,980.42",2024-12-28 22:29:08
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,AOI,N/A,"-$3,667.62
-43.6%","-$3,667.62
-43.6%","$0
0",0%,"$8,408.04",2024-12-28 22:29:14
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,spitfire,N/A,"+$1,310.06
+163.9%","+$1,310.06
+163.9%","$0
0",0%,$799.38,2024-12-28 22:29:19
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,JONESY,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-28 22:29:24
