ticker,text,username,timestamp,likes,retweets,replies,views
Kitty,286K,"xgerman_kitty_catx | comms OPEN
@kittycat_german
·
Jan 11",2025-01-12T00:10:26.000Z,44000,5700,27,286000
Kitty,478K,"kimi 𐚁 ྀིྀིྀིྀིྀི
@piinkimi_
·
Jan 12",2025-01-12T16:40:00.000Z,27000,3500,125,478000
Kitty,5.9K,"TrumpsKitten
@TrumpsBadKitty
·
Jan 12",2025-01-12T22:11:31.000Z,241,68,28,5900
Kitty,12K,"grace
@lqvejiara
·
Jan 12",2025-01-13T00:10:06.000Z,468,25,5,12000
Kitty,60K,"@w0ndercolor
·
Jan 12",2025-01-12T20:25:53.000Z,2900,407,4,60000
Kitty,286K,"xgerman_kitty_catx | comms OPEN
@kittycat_german
·
Jan 11",2025-01-12T00:10:26.000Z,44000,5700,27,286000
Kitty,38K,"KittKatt
@binahlover
·
Jan 12",2025-01-12T22:40:04.000Z,5100,933,26,38000
Kitty,491,"MAGA Kitty
@SaveUSAKitty
·
46m",2025-01-14T01:17:42.000Z,22,8,2,491
Kitty,3.8K,"nadine 𖦹 ₊˚
@spockiese
·
Jan 11",2025-01-12T02:12:50.000Z,364,82,8,3800
Kitty,4.1K,"MAGA Kitty
@SaveUSAKitty
·
4h",2025-01-13T21:05:07.000Z,38,14,18,4100
Kitty,131,"The Internet of Cats
@KittiesInternet
·
26m",2025-01-14T01:38:00.000Z,8,1,1,131
Kitty,202,"Maryam Ghafoor
@GhafoorMaryam
·
8h",2025-01-13T17:21:39.000Z,6,6,0,202
Kitty,38K,"KittKatt
@binahlover
·
Jan 12",2025-01-12T22:40:04.000Z,5100,933,26,38000
Kitty,491,"MAGA Kitty
@SaveUSAKitty
·
46m",2025-01-14T01:17:42.000Z,22,8,2,491
Kitty,3.8K,"nadine 𖦹 ₊˚
@spockiese
·
Jan 11",2025-01-12T02:12:50.000Z,364,82,8,3800
Kitty,4.1K,"MAGA Kitty
@SaveUSAKitty
·
4h",2025-01-13T21:05:07.000Z,38,14,18,4100
Kitty,131,"The Internet of Cats
@KittiesInternet
·
26m",2025-01-14T01:38:00.000Z,8,1,1,131
Kitty,202,"Maryam Ghafoor
@GhafoorMaryam
·
8h",2025-01-13T17:21:39.000Z,6,6,0,202
Kitty,38K,"KittKatt
@binahlover
·
Jan 12",2025-01-12T22:40:04.000Z,5100,933,26,38000
Kitty,491,"MAGA Kitty
@SaveUSAKitty
·
46m",2025-01-14T01:17:42.000Z,22,8,2,491
Kitty,3.8K,"nadine 𖦹 ₊˚
@spockiese
·
Jan 11",2025-01-12T02:12:50.000Z,364,82,8,3800
Kitty,4.1K,"MAGA Kitty
@SaveUSAKitty
·
4h",2025-01-13T21:05:07.000Z,38,14,18,4100
Kitty,131,"The Internet of Cats
@KittiesInternet
·
26m",2025-01-14T01:38:00.000Z,8,1,1,131
Kitty,202,"Maryam Ghafoor
@GhafoorMaryam
·
8h",2025-01-13T17:21:39.000Z,6,6,0,202
Kitty,38K,"KittKatt
@binahlover
·
Jan 12",2025-01-12T22:40:04.000Z,5100,933,26,38000
Kitty,491,"MAGA Kitty
@SaveUSAKitty
·
46m",2025-01-14T01:17:42.000Z,22,8,2,491
Kitty,3.8K,"nadine 𖦹 ₊˚
@spockiese
·
Jan 11",2025-01-12T02:12:50.000Z,364,82,8,3800
Kitty,4.1K,"MAGA Kitty
@SaveUSAKitty
·
4h",2025-01-13T21:05:07.000Z,38,14,18,4100
Kitty,131,"The Internet of Cats
@KittiesInternet
·
26m",2025-01-14T01:38:00.000Z,8,1,1,131
Kitty,202,"Maryam Ghafoor
@GhafoorMaryam
·
8h",2025-01-13T17:21:39.000Z,6,6,0,202
