ticker,display_name,handle,post_text,timestamp,comments,likes,views
BEAN,Bean,BeanTrigger,TONY BOOKED WHAT FOR NEXT WEEKS DYNAMITE???,2025-01-12T23:01:19.000Z,27,2100,55000
BEAN,Katherine@EyesOpen,TheBeanEyesOpen,It’s honestly so awful. The degradation and rot we have allowed to grow in our society is nothing short of destructive. Young girls now think this is a fabulous route to making big bucks. It’s just glorified prostitution. It should all be banned. Musk needs to get this shit off,2025-01-14T06:54:48.000Z,3,135,8900
BEAN,BIG BEAN,Gail_BeAN,"Theta Tau MADE.Young Buck
. 
18 Enemies of the State Waiting To ExhaleAOML Happy Founders Day to all before x all after. If it weren't for the 22, I wouldn't belong to the best sisterhood in all the land. Beyond Grateful",2025-01-13T23:48:40.000Z,44,1500,43000
BEAN,Contrarian,ContrarianTribe,"Which one has a better chance of being Canadas next Prime Minister?

I’m going with Bean! #Bean4PM",2025-01-12T03:26:49.000Z,37,130,2700
BEAN,Lerato Pillay,nyebe_official,"Ewuuu MUGG &amp; BEAN SA

“Unjn bhuti sacela Nami ungimemezelele u mugg &amp; bean restaurant
Unyaka wonke kudlalwa ngami December wonke including holidays nayi payslip yam

Ngisebenza e mugg an bin restaurant gateway from last year December until now  bengibekezelele lemali",2025-01-13T09:14:23.000Z,628,4200,762000
CALEB,七酥Sussii,sussii4570,补发一张 #夏以昼 #Caleb,2025-01-12T10:56:56.000Z,14,13000,188000
CALEB,CalebDOTexe,CalebDOTexe_,This balatro run is crazy,2025-01-12T16:14:17.000Z,178,73000,1200000
CALEB,phie ♥︎ THE RETURN OF GEGE |,mephiestophyl,in celebration of geges return  #夏以昼 #マヒル #恋と深空 #Caleb #LoveandDeepspace,2025-01-13T12:59:36.000Z,30,9300,109000
CALEB,(｡- .•)~♡,xyzfuls,#caleb: i think the apple’s rotten right to the core,2025-01-12T09:41:05.000Z,17,2600,33000
CALEB,growroses inthegarden,i_growroses,"People month ago: arguing with me that Caleb is NPC
People now:
#LoveandDeepspace #Caleb",2025-01-13T23:12:19.000Z,15,4000,46000
Hana,Team Hana Yoshida 吉田 陽菜,hanaloops,"Hana’s exhibition to “Godzilla” at the Nagoya Figure Skate Festival  

#HanaYoshida #吉田陽菜",2025-01-13T02:34:12.000Z,3,509,61000
Hana,hana,hana_ni_nare_,"新成人おめでとうございます第2弾

一緒に成人の日を迎えられてたら…の
さんとくん。",2025-01-13T06:38:44.000Z,24,10000,159000
Hana,April❀,Fuyu_Hana_,"Kanade: intently watching her girlfriend lift a dumbbell easily with one hand

Also Kanade: tries to do the same thing only to fail",2025-01-13T04:14:45.000Z,9,1500,16000
Hana,hana,glarehana,#cihal: sen hiç sevgi görmedin mi? hiç ilgi görmedin mi? hiç mi sarıp sarmalamadılar seni?,2025-01-14T08:50:26.000Z,11,565,15000
Hana,倉木華,hana_kuraki87,,2025-01-12T07:48:51.000Z,98,6600,173000
Hana,hana,hana_ni_nare_,"新成人おめでとうございます第2弾

一緒に成人の日を迎えられてたら…の
さんとくん。",2025-01-13T06:38:44.000Z,24,10000,159000
Hana,うなよん,mayalphazgirlz_,"NoNoGirls - DROP B team 

 #花 #HANA #ノノガ #NoNoGirls  #CHIKA #NAOKO #KOKONA #FUMINO  #MOMOKA #DROP #ノノガファイナル",2025-01-12T07:33:49.000Z,2,3800,525000
Hana,りんぷー,HanaSoraKorin,"そらくん
窓辺で日向ぼっこ
#猫のいる暮らし #猫好き #猫",2025-01-14T11:04:28.000Z,0,220,755
Hana,うに,_uni102,"うーん想像以上にエヴァ

#NoNoGirls #ノノガ #ノノガファイナル 
#HANA #MAHINA #JISOO",2025-01-12T09:13:57.000Z,2,20000,1400000
Hana,ⵀⴰⵏⴰ Hana,HanaeEster,"خروج جماهيري لناس تيزنيت احتفالا بالسنة الأمازيغية الجديدة 2975

أيت تيزنيت تباركالله#HappyAmazighNewYear2975",2025-01-14T18:22:59.000Z,1,79,544
Weapon,We Win أإله مع الله,WeWin12515028,Directed energy weapon,2025-01-12T08:51:27.000Z,4,122,8100
Weapon,International Defence Analysis,Defence_IDA,TAI's ANKA-III successfully fires weapons from its internal weapon bay.,2025-01-13T07:59:47.000Z,6,322,12000
Weapon,Elon Musk (Parody),elonmuskewl,Compassion is the weapon of the wise.,2025-01-14T19:28:01.000Z,25,66,750
Weapon,Large Super-Weapon Drones,LargeSWDrones,"$LSDS Large Super-Weapon Drones is on it's way to sending.  Looking for true believers in the narrative that will soon be planet wide.

https://pump.fun/coin/4jiXkP4SbkAKz43FVENkK9nb7878PUEA9bGEx39Upump…

Jeeters need not apply.

This will be a truly organic community grown powerhouse.",2025-01-14T19:48:08.000Z,2,4,80
Weapon,Life does,Thelifedoes,"Any serious country on earth should ban TikTok,there’s definitely something shady going on in there. It’s a weapon",2025-01-13T02:51:41.000Z,40,61,15000
