wallet_address,ticker,unrealized,realized,total_profit,balance,position,bought_avg,timestamp
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,MemesAI,+$38.1K,"+$20K
+112.2%","+$58.1K
+32.5%","$238.6K
5M",100%,$96.2K,2024-12-28 13:55:28
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,GDOG,$0,HODL,"$0
0%","$0.01
5",100%,$0,2024-12-28 13:55:28
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,STNK,$0,HODL,"$0
0%","$0.01
358.6",100%,$0,2024-12-28 13:55:28
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,MemesAI,$0,HODL,"$0
0%","$5.26
100",100%,$0,2024-12-28 13:55:28
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,pdb,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 13:55:28
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,PENGU,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 13:55:28
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,santahat,$0,HODL,"$0
0%","$0.004
1,000",100%,$0,2024-12-28 13:55:28
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,hodl,$0,HODL,"$0
0%","$0
117.16",100%,$0,2024-12-28 13:55:28
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,RICH,$0,HODL,"$0
0%","$0
19.88",100%,$0,2024-12-28 13:55:28
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,ORACLE,N/A,"+$14.58
+1.7%","+$14.58
+1.7%","$0
0",0%,$845.9,2024-12-28 13:55:28
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,RURI,N/A,"+$4,686.34
+24.2%","+$4,686.34
+24.2%","$0
0",0%,"$4,584.01",2024-12-28 13:55:28
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,b2,N/A,"-$798.22
-87.3%","-$798.22
-87.3%","$0
0",0%,$914.12,2024-12-28 13:55:28
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,Shoggoth,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 13:55:28
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,evelyn ,N/A,"+$1,104.74
+93.7%","+$1,104.74
+93.7%","$0
0",0%,"$1,179.51",2024-12-28 13:55:28
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,mockJUP,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 13:55:29
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,Burpcoin,N/A,"-$665.82
-30.4%","-$665.82
-30.4%","$0
0",0%,"$2,188.15",2024-12-28 13:55:29
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,Aoi,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 13:55:29
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,ME,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 13:55:29
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,VOYAGE,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 13:55:29
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,M3M3,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 13:55:29
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,CHUUMP,$0,HODL,"$0
0%","$0.527
1,200",100%,$0,2024-12-28 13:55:29
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,CLAWDIA,$0,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 13:55:29
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,PEELY,N/A,"-$2,700.75
-45.2%","-$2,700.75
-45.2%","$0
0",0%,"$5,980.42",2024-12-28 13:55:29
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,AOI,N/A,"-$3,667.62
-43.6%","-$3,667.62
-43.6%","$0
0",0%,"$8,408.04",2024-12-28 13:55:29
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,spitfire,N/A,"+$1,310.06
+163.9%","+$1,310.06
+163.9%","$0
0",0%,$799.38,2024-12-28 13:55:29
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,JONESY,N/A,"-$4,168.19
-68.7%","-$4,168.19
-68.7%","$0
0",0%,"$6,070.64",2024-12-28 13:55:29
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,Taper,N/A,"-$72.86
-2%","-$72.86
-2%","$0
0",0%,"$3,561.15",2024-12-28 13:55:29
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,RAPR,N/A,"-$122.29
-1.1%","-$122.29
-1.1%","$0
0",0%,$24.6K,2024-12-28 13:55:29
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,AIDS,N/A,"-$6.52
-0%","-$6.52
-0%","$0
0",0%,$7,2024-12-28 13:55:29
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,reverie,N/A,"-$74.99
-5%","-$74.99
-5%","$0
0",0%,"$1,496.73",2024-12-28 13:55:29
