wallet_address,ticker,unrealized,realized,total_profit,balance,position,bought_avg,timestamp
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,MemesAI,+$19.4K,"+$20K
+112.2%","+$39.4K
+22.1%","$200.4K
5M",100%,$96.2K,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,GDOG,$0,HODL,"$0
0%","$0.01
5",100%,$0,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,STNK,$0,HODL,"$0
0%","$0.038
343.75",100%,$0,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,MemesAI,$0,HODL,"$0
0%","$5.26
100",100%,$0,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,pdb,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,PENGU,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,santahat,$0,HODL,"$0
0%","$0.004
1,000",100%,$0,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,hodl,$0,HODL,"$0
0%","$0
117.16",100%,$0,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,RICH,$0,HODL,"$0
0%","$0
19.88",100%,$0,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,ORACLE,N/A,"+$14.58
+1.7%","+$14.58
+1.7%","$0
0",0%,$845.9,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,RURI,N/A,"+$4,686.34
+24.2%","+$4,686.34
+24.2%","$0
0",0%,"$4,584.01",2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,b2,N/A,"-$798.22
-87.3%","-$798.22
-87.3%","$0
0",0%,$914.12,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,Shoggoth,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,evelyn ,N/A,"+$1,104.74
+93.7%","+$1,104.74
+93.7%","$0
0",0%,"$1,179.51",2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,mockJUP,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,Burpcoin,N/A,"-$665.82
-30.4%","-$665.82
-30.4%","$0
0",0%,"$2,188.15",2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,Aoi,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,ME,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,VOYAGE,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,M3M3,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,CHUUMP,$0,HODL,"$0
0%","$0.507
1,200",100%,$0,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,CLAWDIA,$0,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-27 23:35:56
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,PEELY,N/A,"-$2,700.75
-45.2%","-$2,700.75
-45.2%","$0
0",0%,"$5,980.42",2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,AOI,N/A,"-$3,667.62
-43.6%","-$3,667.62
-43.6%","$0
0",0%,"$8,408.04",2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,spitfire,N/A,"+$1,310.06
+163.9%","+$1,310.06
+163.9%","$0
0",0%,$799.38,2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,JONESY,N/A,"-$4,168.19
-68.7%","-$4,168.19
-68.7%","$0
0",0%,"$6,070.64",2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,Taper,N/A,"-$72.86
-2%","-$72.86
-2%","$0
0",0%,"$3,561.15",2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,RAPR,N/A,"-$122.29
-1.1%","-$122.29
-1.1%","$0
0",0%,$24.6K,2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,AIDS,N/A,"-$6.52
-0%","-$6.52
-0%","$0
0",0%,$7,2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,reverie,N/A,"-$74.99
-5%","-$74.99
-5%","$0
0",0%,"$1,496.73",2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,Wink,N/A,"-$943.08
-50.7%","-$943.08
-50.7%","$0
0",0%,"$1,861.01",2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,XRP,N/A,"+$185.59
+4.6%","+$185.59
+4.6%","$0
0",0%,"$3,991.23",2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,HER,N/A,"+$77.79
+44.5%","+$77.79
+44.5%","$0
0",0%,$174.9,2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,TEST88,N/A,"-$3,115.48
-58.9%","-$3,115.48
-58.9%","$0
0",0%,"$5,291.02",2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,TEST,N/A,"+$91.34
+29.2%","+$91.34
+29.2%","$0
0",0%,$313,2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,early,$0,HODL,"$0
0%","$0.004
60.6",100%,$0,2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,rizzcycle,N/A,"-$62.5
-26.8%","-$62.5
-26.8%","$0
0",0%,$233.32,2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,pumpit,$0,HODL,"$0
0%","$0.003
442.87",100%,$0,2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,Flower,N/A,"+$675.28
+21.6%","+$675.28
+21.6%","$0
0",0%,"$3,124.17",2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,TrumpAI,N/A,"-$1,234.33
-73.6%","-$1,234.33
-73.6%","$0
0",0%,"$1,678.06",2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,🌈,N/A,"+$227.07
+22.5%","+$227.07
+22.5%","$0
0",0%,"$1,009.28",2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,7STAR,$0,"-$48.5
-1.1%","-$48.5
-1.1%","$0
0",0%,"$7,348.92",2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,kat,N/A,"-$31.35
-2.8%","-$31.35
-2.8%","$0
0",0%,"$1,102.4",2024-12-27 23:35:57
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,BAPE,N/A,"-$44.26
-21.3%","-$44.26
-21.3%","$0
0",0%,$207.73,2024-12-27 23:35:57
