ticker,text,username,timestamp,likes,retweets,replies,views
SCHIZO,44,"「優しい」悪魔
@_SchizoPosting
·
2m",2025-01-14T01:53:15.000Z,8,1,1,44
SCHIZO,135K,"「優しい」悪魔
@_SchizoPosting
·
Jan 12",2025-01-12T17:13:51.000Z,6500,3800,588,135000
SCHIZO,223,"dumpster (schizo arc)
@imaDUMPSTERfr
·
Jan 12",2025-01-12T16:51:21.000Z,12,3,2,223
SCHIZO,4.4K,"adam
@Web3Adam
·
8h",2025-01-13T17:32:34.000Z,71,22,17,4400
SCHIZO,845,"JITTOSHI
@THESAINTOSHI
·
Jan 11",2025-01-12T04:49:56.000Z,20,2,3,845
SCHIZO,349,"Grimnir
@GrimnirHangi
·
Jan 12",2025-01-12T17:53:47.000Z,5,3,2,349
SCHIZO,41,"Krzee
@KrzeeSchizo
·
5h",2025-01-13T20:19:20.000Z,3,1,0,41
SCHIZO,2.8K,"Ciborgen
@ciborgen
·
6h",2025-01-13T18:57:35.000Z,361,60,5,2800
SCHIZO,153,"0xMatt
@0xVexity
·
Jan 12",2025-01-12T21:38:20.000Z,6,1,0,153
SCHIZO,1.7K,"VancityNews1
@VancityNews1
·
Jan 12",2025-01-12T18:24:39.000Z,100,44,10,1700
SCHIZO,180,"kwantxbt
@kwantxbt
·
16h",2025-01-13T09:54:15.000Z,6,1,0,180
SCHIZO,764,"Marusha
@mattomattik
·
Jan 11",2025-01-12T00:31:07.000Z,9,0,1,764
SCHIZO,522,"𝘋𝘢𝘯𝘨𝘦𝘳 𝘓𝘢𝘯𝘢
@SchizoThavel
·
5h",2025-01-13T20:06:53.000Z,17,5,6,522
SCHIZO,131,"Milo.base.eth
@Milobase
·
12h",2025-01-13T13:31:06.000Z,9,0,3,131
SCHIZO,494,"Tikiw0w
@Tikiwow987
·
Jan 12",2025-01-12T22:34:53.000Z,15,3,1,494
SCHIZO,79,"IAMAI Intern
@iamai_intern
·
7h",2025-01-13T17:56:25.000Z,7,1,2,79
SCHIZO,98,"topo chico enjoyer
@TopoSchizo
·
Jan 12",2025-01-13T00:06:28.000Z,4,0,2,98
SCHIZO,80,"SUBPAR
@9TailedSchizo
·
10h",2025-01-13T14:58:31.000Z,2,0,0,80
SCHIZO,19,"Nitesh
@NiteshSchizo
·
30m",2025-01-14T01:26:13.000Z,2,0,0,19
SCHIZO,160,"topo chico enjoyer
@TopoSchizo
·
Jan 12",2025-01-13T00:15:54.000Z,9,2,2,160
SCHIZO,242,"「優しい」悪魔
@_SchizoPosting
·
57m",2025-01-14T00:58:35.000Z,4,0,1,242
SCHIZO,131,"Isaiah
@Isaiahtoosilly
·
7h",2025-01-13T18:38:23.000Z,2,1,1,131
SCHIZO,88,"Saint_Pablo
@SaintSchizo42
·
4h",2025-01-13T21:11:19.000Z,6,1,2,88
SCHIZO,377,"KEM₿A
@KING__KEMBA
·
Jan 11",2025-01-12T01:24:02.000Z,3,0,1,377
SCHIZO,59,"persona²
@PommernSchizo
·
Jan 12",2025-01-12T11:18:20.000Z,6,2,0,59
SCHIZO,6K,"σℓινια
@ugliestduck
·
Jan 12",2025-01-12T11:43:52.000Z,71,21,22,6000
SCHIZO,643,"eleetmo Gnoma ꧁IP꧂ (,)
@eleetsol
·
Jan 12",2025-01-12T20:52:23.000Z,10,1,1,643
SCHIZO,1.2K,"ChrisKogias
@ChrisKogias
·
Jan 12",2025-01-12T20:26:48.000Z,16,3,1,1200
SCHIZO,237,"Zoomer Spectator
@GenZ_spectator
·
5h",2025-01-13T20:29:37.000Z,4,0,0,237
SCHIZO,69,"Macek
@Mackusus
·
Jan 12",2025-01-12T15:41:51.000Z,2,0,0,69
SCHIZO,170,"SUBPAR
@9TailedSchizo
·
8h",2025-01-13T17:30:16.000Z,9,0,0,170
SCHIZO,590,"schizo
@ReviveMarc
·
20h",2025-01-13T04:58:18.000Z,10,3,5,590
SCHIZO,11K,"Faded
@youfadedwealth
·
Admin
·
Jan 12",2025-01-12T20:20:50.000Z,113,29,1,11000
