ticker,username,post_text,comments,likes,views
CALEB,ERI ‧₊˚,i live for zayne caleb beef,48,33000,0
CALEB,Chesa,"Sorry to the people who hate Caleb's EN voice because y'all missing out, the rasp in his voice did things to me",72,4300,0
CALEB,𝓐.,#XAVIER x #CALEB — choose one.,1,2400,0
CALEB,Hira ෆ,#XAVIER & #CALEB : obsessed with her.,9,4300,0
BEAN,Isha,"Atishi community mein chaos kyun create kar rahi hai? 

#Atishi #CommunityStrife #Division #delhideservesbetter",0,2,0
BEAN,bean,"#LoveandDeepspace #セイヤ #Xavier #沈星回 
misty silhouette",37,18000,0
BEAN,tastytrade,"TOOLS, INSIGHTS, AND TECHNOLOGY BUILT FOR TODAY’S ACTIVE TRADER",1,379,0
BEAN,chefderek.eth,Every $UFD bean counter soon:,13,157,0
Hana,min hana⁷,Who caught your eye first in bts and who is your bias now?,905,2700,0
Hana,SHANKI,Kairo ni kama hana ata stress,40,684,0
Hana,はな,"ハイレグお姉さんがツルツルのアソコを公開します

糸引いてるけど見たい人いますか？

「欲しい」って返事でちゃんと見せる！",34,859,0
Hana,min hana⁷,Who caught your eye first in bts and who is your bias now?,905,2700,0
Hana,hana,#cihal: sen hiç sevgi görmedin mi? hiç ilgi görmedin mi? hiç mi sarıp sarmalamadılar seni?,11,409,0
Hana,SHANKI,Kairo ni kama hana ata stress,40,684,0
Hana,hana,“Alya bu kadar takmıyor sana noluyor mine.” İÇERLENMİŞ GEBERCEMWJWHAHAHAHAJAHAH #cihal #uzakşehir,8,3300,0
Weapon,We The Second,"With Colorado SB25-003, our latest ""Assault Weapon Ban"" bill, sponsors are attempting to pass never seen before legislation that is farther reaching than any gun ban any state has ever seen - and they are claiming it is to stop the staggering violent crime in Colorado. 

What",3,110,0
Weapon,Daniel Wade,The Charger do have 1 weapon for sure.,21,253,0
Weapon,The Tank,Another arsonist video making the rounds. I think the psyops the government is doing trying to get the focus on arsonist instead of their direct energy weapon.,180,4200,0
