wallet_address,ticker,unrealized,realized,total_profit,balance,position,bought_avg,timestamp
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,MemesAI,+$39.9K,"+$20K
+112.2%","+$59.9K
+33.7%","$241.9K
5M",100%,$96.2K,2024-12-28 19:30:52
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,GDOG,$0,HODL,"$0
0%","$0.01
5",100%,$0,2024-12-28 19:30:52
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,STNK,$0,HODL,"$0
0%","$0.008
361.08",100%,$0,2024-12-28 19:30:52
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,MemesAI,$0,HODL,"$0
0%","$5.26
100",100%,$0,2024-12-28 19:30:52
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,pdb,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 19:30:52
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,PENGU,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 19:30:52
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,santahat,$0,HODL,"$0
0%","$0.004
1,000",100%,$0,2024-12-28 19:30:52
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,hodl,$0,HODL,"$0
0%","$0.003
222.62",100%,$0,2024-12-28 19:30:52
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,RICH,$0,HODL,"$0
0%","$0
19.88",100%,$0,2024-12-28 19:30:52
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,ORACLE,N/A,"+$14.58
+1.7%","+$14.58
+1.7%","$0
0",0%,$845.9,2024-12-28 19:30:52
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,RURI,N/A,"+$4,686.34
+24.2%","+$4,686.34
+24.2%","$0
0",0%,"$4,584.01",2024-12-28 19:30:52
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,b2,N/A,"-$798.22
-87.3%","-$798.22
-87.3%","$0
0",0%,$914.12,2024-12-28 19:30:52
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,Shoggoth,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 19:30:52
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,evelyn ,N/A,"+$1,104.74
+93.7%","+$1,104.74
+93.7%","$0
0",0%,"$1,179.51",2024-12-28 19:30:52
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,mockJUP,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 19:30:52
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,Burpcoin,N/A,"-$665.82
-30.4%","-$665.82
-30.4%","$0
0",0%,"$2,188.15",2024-12-28 19:30:52
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,Aoi,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 19:30:52
7JfkjvMnwTvZNGNam2RgJ1BBxMpsqaQRaWmvejig7uCa,ME,N/A,"$0
0%","$0
0%","$0
0",100%,$0,2024-12-28 19:30:52
