ticker,text,username,timestamp,likes,retweets,replies,views
ELONCHO,,"Crypto Luka
@cryptoryderz
·
3s",2025-01-13T05:29:52.000Z,0,0,0,0
ELONCHO,23,"Avax Jet Fuel
@Avax_JetFuel
·
10m",2025-01-13T05:19:43.000Z,1,0,0,23
ELONCHO,484,"QUARTZ
@quartzeth
·
24m",2025-01-13T05:05:11.000Z,24,18,16,484
ELONCHO,,"Crypto Luka
@cryptoryderz
·
3s",2025-01-13T05:29:52.000Z,0,0,0,0
ELONCHO,23,"Avax Jet Fuel
@Avax_JetFuel
·
10m",2025-01-13T05:19:43.000Z,1,0,0,23
ELONCHO,484,"QUARTZ
@quartzeth
·
24m",2025-01-13T05:05:11.000Z,24,18,16,484
ELONCHO,,"Crypto Luka
@cryptoryderz
·
3s",2025-01-13T05:29:52.000Z,0,0,0,0
ELONCHO,23,"Avax Jet Fuel
@Avax_JetFuel
·
10m",2025-01-13T05:19:43.000Z,1,0,0,23
ELONCHO,484,"QUARTZ
@quartzeth
·
24m",2025-01-13T05:05:11.000Z,24,18,16,484
ELONCHO,1,"mr.nolacking fart/stop
@SolanaSkully
·
53s",2025-01-13T05:29:13.000Z,0,0,0,1
ELONCHO,2,"mr.nolacking fart/stop
@SolanaSkully
·
1m",2025-01-13T05:28:50.000Z,0,0,0,2
ELONCHO,52,"Excel crypto
@Excel_crypto11
·
13m",2025-01-13T05:16:37.000Z,5,1,1,52
ELONCHO,58,"Killer Pollo
@KillerPollo_MX
·
51m",2025-01-13T04:38:28.000Z,5,2,2,58
ELONCHO,1,"mr.nolacking fart/stop
@SolanaSkully
·
48s",2025-01-13T05:29:17.000Z,0,0,0,1
ELONCHO,166,"TkarraX
@tkarraX
·
2h",2025-01-13T02:42:26.000Z,3,1,0,166
ELONCHO,307,"Stat1x
@stat1x_x
·
2h",2025-01-13T02:30:41.000Z,8,5,1,307
ELONCHO,2,"mr.nolacking fart/stop
@SolanaSkully
·
1m",2025-01-13T05:28:56.000Z,0,0,0,2
ELONCHO,58,"Killer Pollo
@KillerPollo_MX
·
51m",2025-01-13T04:38:28.000Z,5,2,2,58
ELONCHO,1,"mr.nolacking fart/stop
@SolanaSkully
·
48s",2025-01-13T05:29:17.000Z,0,0,0,1
ELONCHO,166,"TkarraX
@tkarraX
·
2h",2025-01-13T02:42:26.000Z,3,1,0,166
ELONCHO,307,"Stat1x
@stat1x_x
·
2h",2025-01-13T02:30:41.000Z,8,5,1,307
ELONCHO,2,"mr.nolacking fart/stop
@SolanaSkully
·
1m",2025-01-13T05:28:56.000Z,0,0,0,2
ELONCHO,,"mr.nolacking fart/stop
@SolanaSkully
·
7s",2025-01-13T05:30:00.000Z,0,0,0,0
ELONCHO,87,"Excel crypto
@Excel_crypto11
·
30m",2025-01-13T04:59:59.000Z,8,4,3,87
ELONCHO,146,"Gabriel pantaleon
@mantra1_
·
2h",2025-01-13T03:21:17.000Z,4,3,0,146
ELONCHO,12,"mr.nolacking fart/stop
@SolanaSkully
·
2m",2025-01-13T05:27:13.000Z,2,0,0,12
ELONCHO,59,"Excel crypto
@Excel_crypto11
·
6m",2025-01-13T05:23:13.000Z,2,0,0,59
ELONCHO,3,"Excel crypto
@Excel_crypto11
·
6m",2025-01-13T05:23:34.000Z,1,0,0,3
ELONCHO,98,"offthewakeupk
@offthewakeupk
·
1h",2025-01-13T03:45:09.000Z,2,0,0,98
