ticker,username,post_text,comments,likes,views
BEAN,chefderek.eth,Every $UFD bean counter soon:,13,157,0
BEAN,bean,"#LoveandDeepspace #セイヤ #Xavier #沈星回 
misty silhouette",37,18000,37
BEAN,tastytrade,We’re in the business of supporting traders. Get the tools you need to make your way in the market.,11,571,11
BEAN,Isha,"Atishi community mein chaos kyun create kar rahi hai? 

#Atishi #CommunityStrife #Division #delhideservesbetter",0,3,3
CALEB,Chesa,"Sorry to the people who hate Caleb's EN voice because y'all missing out, the rasp in his voice did things to me",72,4300,0
CALEB,ERI ‧₊˚,i live for zayne caleb beef,48,33000,48
CALEB,𝓐.,#XAVIER x #CALEB — choose one.,1,2400,1
CALEB,Hira ෆ,#XAVIER & #CALEB : obsessed with her.,9,4400,9
Hana,حنان عيسى 𓂆,"تعود للحياة .. زي غزة 
""ظنّوا استشهادها، فإذا بها تفتح عينيها""
فرحة طواقم الدفاع المدني بإنقاذ طفلة من تحت ركام منزل قصفه الاحتلال بمدينة غزة

#مقاطعه_الكافيهات__المشهوره #نادر_شوقي_عدو_الاهلي  #عليا_الطلاق_ماابراهيم لوس انجلوس #وقف_اطلاق_النار عمان",4,145,4
Hana,はな,"ハイレグお姉さんがツルツルのアソコを公開します

糸引いてるけど見たい人いますか？

「欲しい」って返事でちゃんと見せる！",34,859,0
Hana,min hana⁷,Who caught your eye first in bts and who is your bias now?,905,2700,0
Hana,min hana⁷,Who caught your eye first in bts and who is your bias now?,905,2700,0
Hana,حنان عيسى 𓂆,"تعود للحياة .. زي غزة 
""ظنّوا استشهادها، فإذا بها تفتح عينيها""
فرحة طواقم الدفاع المدني بإنقاذ طفلة من تحت ركام منزل قصفه الاحتلال بمدينة غزة

#مقاطعه_الكافيهات__المشهوره #نادر_شوقي_عدو_الاهلي  #عليا_الطلاق_ماابراهيم لوس انجلوس #وقف_اطلاق_النار عمان",4,145,4
Hana,hana,#cihal: sen hiç sevgi görmedin mi? hiç ilgi görmedin mi? hiç mi sarıp sarmalamadılar seni?,11,419,11
Hana,ⵀⴰⵏⴰ Hana,"ⴰⵙⴳⴳⴰⵙ ⴰⵎⴰⵢⵏⵓ ⴰⵎⴱⴰⵔⴽⵉ 2975

#HappyAmazighNewYear2975",24,515,0
Weapon,Daniel Wade,The Charger do have 1 weapon for sure.,21,253,0
Weapon,The Tank,Another arsonist video making the rounds. I think the psyops the government is doing trying to get the focus on arsonist instead of their direct energy weapon.,180,4200,180
Weapon,Hernán Jaramillo,No need for nukes or economic sanctions when you have the ultimate subjugation weapon the USD,1,10,1
Weapon,karma karuma//buka komis//,"i just imagine what if he sees the weapon he made got broken and he is in the stated cant forge anymore 

#blade #kafka #caelus #danheng",65,24000,0
