ticker,display_name,handle,post_text,timestamp,comments,likes,views
BEAN,Alma Bean,AlmaBean23,"Tour of the locker room
#NHLinUtah #UtahHC",2025-01-14T01:36:50.000Z,1,103,4800
BEAN,EBeanS(イービーンズ)公式,EBeanS_sendai,"【古本まつり】

日程：1/10(金)～2/16(日)
会場：９階杜のイベントホール
※1/30(木)は商品入れ替えのためお休み

なかなか見つからない面白い本やレアな雑誌が大集合
お気に入りの一冊を探しに来てください
ご来場お待ちしております
https://e-beans.jp/event/event-14922/…",2025-01-14T03:22:41.000Z,0,13,2700
BEAN,8/24𝕄𝕒𝕞𝕓𝕒-𝔽𝕠𝕣𝕖𝕧𝕖𝕣,8_24Mamba4Ever,We Miss You Bean,2025-01-13T07:49:38.000Z,19,2400,23000
BEAN,SHYIRAMBERE Oswald,ShyirambereOsw5,"Harvested bean under #ConservationAgriculture demo plot in Huye Sector, 
@HuyeDistrict
 . I, Senior Agronomist, encourage farmers to adopt this way of farming. We farm while we protect and Conserve the environment for today and future.
@REMA_Rwanda
 @EnvironmentRw
@UNEP
 @B2RFarms",2025-01-14T09:50:03.000Z,0,14,276
BEAN,Katherine@EyesOpen,TheBeanEyesOpen,Who thinks the Labour Party is effectively finished?,2025-01-13T08:25:37.000Z,13,48,891
BEAN,Solvanna,simplysavmarie,Sometimes ya just gotta flick the bean,2025-01-12T06:31:53.000Z,4,18,1600
BEAN,BIG BEAN,Gail_BeAN,"Theta Tau MADE.Young Buck
. 
18 Enemies of the State Waiting To ExhaleAOML Happy Founders Day to all before x all after. If it weren't for the 22, I wouldn't belong to the best sisterhood in all the land. Beyond Grateful",2025-01-13T23:48:40.000Z,43,1500,41000
BEAN,Isha,_precious_bean_,"Kyu Kejriwal ji is baar kya kahege, purani baatein ya naye jhoot?",2025-01-12T09:09:21.000Z,5,52,9500
BEAN,Isha,_precious_bean_,Hare Krishna,2025-01-14T04:19:06.000Z,36,87,941
CALEB,Pyunrim,pyunrim,"Saw Caleb’s myth outfit and immediately RAN to draw him. Here is a small zoomed in wip! He looked so cool I just had to do a quick drawing of him. Got a bit carried away and did a lot of rendering AHAHAHHA but at least it looks good!

#Caleb #LoveandDeepspace",2025-01-12T16:05:40.000Z,19,9500,96000
CALEB,phie ♥︎ THE RETURN OF GEGE |,mephiestophyl,in celebration of geges return  #夏以昼 #マヒル #恋と深空 #Caleb #LoveandDeepspace,2025-01-13T12:59:36.000Z,30,9100,105000
